Row,Parent Feature Summary,Story Summary,WAF Run/Change,WAF Color,WAF Category,WAF Sub-Category,Confidence
439,Acquisitions ART Production Support,Stabilize acquisition-related batch processing as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
440,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
441,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
442,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
443,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to drive continuous improvement,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
444,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to unblock dependent teams,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
445,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH
446,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to support production operations,Run,GRAY,KTLO (Keep the Lights On),Emergency break-fix,HIGH
447,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to unblock dependent teams,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
448,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to drive continuous improvement,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
449,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM
450,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to drive continuous improvement,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM
451,Migrated Delivery,Resolve post-migration defects impacting service delivery as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
452,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to drive continuous improvement,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
453,Security & Vulnerability Management,Harden service configurations based on security findings to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
454,Migrated Delivery,Address technical debt introduced during migration to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM
455,Continuous Improvement Feature,Improve observability and logging standards to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
456,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
457,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to unblock dependent teams,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
458,Migrated Delivery,Address technical debt introduced during migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
459,Migrated Delivery,Stabilize workloads following platform migration to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM
460,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH
461,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
462,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to drive continuous improvement,Run,BLACK,Technical Maintenance,Optimization,MEDIUM
463,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to enable required business functionality,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
464,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
465,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
466,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH
467,Continuous Improvement Feature,Optimize deployment workflows for improved reliability as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Optimization,HIGH
468,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
469,Security & Vulnerability Management,Update security scanning rules and suppression logic to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM
470,Migrated Delivery,Address technical debt introduced during migration to drive continuous improvement,Change,YELLOW,Top Divisional Priority,Migration completion,MEDIUM
471,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM
472,Migrated Delivery,Stabilize workloads following platform migration to unblock dependent teams,Run,BLACK,Technical Maintenance,Platform upgrades,HIGH
473,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to drive continuous improvement,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
474,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM
475,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
476,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to support production operations,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
477,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to unblock dependent teams,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
478,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to unblock dependent teams,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
479,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to enable required business functionality,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
480,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
481,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
482,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
483,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
484,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to unblock dependent teams,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
